CCTV1,rtp://239.21.1.120:5002
CCTV2,rtp://239.21.1.151:5002
CCTV3,rtp://239.21.2.45:5002
CCTV4,rtp://239.21.1.154:5002
CCTV5,rtp://239.21.2.46:5002
CCTV5+,rtp://239.21.1.142:5002
CCTV6,rtp://239.21.2.47:5002
CCTV7,rtp://239.21.1.152:5002
CCTV8,rtp://239.21.2.48:5002
CCTV9,rtp://239.21.1.153:5002
CCTV10,rtp://239.21.1.155:5002
CCTV11,rtp://239.21.2.2:5002
CCTV12,rtp://239.21.1.156:5002
CCTV13,rtp://239.21.2.3:5002
CCTV14,rtp://239.21.1.157:5002
CCTV15,rtp://239.21.2.4:5002
CCTV16,rtp://239.21.2.51:5002
CCTV17,rtp://239.21.1.186:5002
广东卫视4K,rtp://239.21.2.173:5002
深圳卫视4K,rtp://239.21.2.174:5002
北京卫视4K,rtp://239.21.2.172:5002
CCTV-4K,rtp://239.21.2.152:5002
海看4K,rtp://239.21.1.179:5002
山东体育,rtp://239.21.1.58:5002
山东体育,rtp://239.21.1.141:5002
山东卫视,rtp://239.21.1.52:5002
山东卫视,rtp://239.21.1.87:5002
山东文旅,rtp://239.21.1.57:5002
山东文旅,rtp://239.21.1.176:5002
山东新闻,rtp://239.21.1.54:5002
山东新闻,rtp://239.21.1.140:5002
山东综艺,rtp://239.21.1.55:5002
山东综艺,rtp://239.21.1.177:5002
